Provider Name,City,State,ZIP,Payment,Rural Location
OUTPATIENT RADIOLOGY CLINIC PA,WEST MEMPHIS,AR,723014213,"$   3,112.05",NO
OUTPATIENT SURGERY CENTER OF JONESBORO LLC,JONESBORO,AR,724019907,"$   165,318.03",NO
OZARK ADULT PERSONAL CARE LLC,MELBOURNE,AR,725560906,"$   184,683.51",YES
OZARK DERMATOLOGY CLINIC,FAYETTEVILLE,AR,727034984,"$   56,024.42",YES
"OZARK GUIDANCE CENTER, INC",SPRINGDALE,AR,727626683,"$   244,759.77",YES
"OZARK HEALTH, INC",CLINTON,AR,720310206,"$   1,071,468.02",YES
"OZARK NURSING HOME, INC.",OZARK,AR,729492120,"$   167,181.35",YES
OZARK PEDIATRIC DENTISTRY,SILOAM SPRINGS,AR,727615571,"$   47,403.87",YES
OZARKS OCCUPATIONAL THERAPY INC,BERRYVILLE,AR,726165202,$   759.45,YES
P & M QUALITY MEDICAL LLC,MONTICELLO,AR,71655,"$   13,618.41",YES
"PAFFORD EMERGENCY MEDICAL SERVICES, INC.",HOPE,AR,718021120,"$   783,204.24",YES
PAFFORD EMS OF OKLAHOMA INC,HOPE,AR,718021120,"$   446,879.29",YES
PAFFORD MEDICAL SERVICES INC,HOPE,AR,718021120,"$   466,781.35",YES
"PAFFORD MEDICAL SERVICES OF MISSISSIPPI, INC",HOPE,AR,718021120,"$   349,252.74",YES
PAIN TREATMENT CENTERS OF AMERICA PLLC,LITTLE ROCK,AR,722112840,"$   223,706.99",YES
PAMS SHOES & PEDORTHICS,RUSSELLVILLE,AR,728015249,"$   9,518.87",YES
PARAGOULD GH OPERATIONS LLC,PARAGOULD,AR,724506264,"$   282,172.07",YES
"PARKWAY HEALTH CENTER, INC.",LITTLE ROCK,AR,722114393,$   500.00,NO
PATHOLOGY SERVICES LABORATORY PA,RUSSELLVILLE,AR,728012805,"$   62,103.47",YES
"PATRICK HATFIELD, M.D., P.A.",BATESVILLE,AR,725014232,"$   46,918.99",YES
PATRICK P MOSELEY FAMILY DENTISTRY,FORDYCE,AR,717420640,"$   6,688.74",YES
PAUL KAUFFMAN,SALEM,AR,725769449,"$   22,682.95",YES
PEACHTREE MENA LLC,MENA,AR,719539340,"$   15,655.34",YES
PEDIATRIC PARTNERS PA,FORT SMITH,AR,729171017,"$   7,694.94",NO
PEDIATRIC PLUS THERAPY SERVICES INC,CONWAY,AR,720349375,"$   16,240.80",YES
PEDIATRICS PLUS COUNSELING & DIAGNOSTICS,CONWAY,AR,720327836,"$   4,432.63",NO
"PENDERGRASS THERAPY SERVICES, INC.",CORNING,AR,72422,"$   4,941.10",YES
PERRY COUNTY CARE CENTER INC,PERRYVILLE,AR,721268597,"$   121,163.03",YES
PERSONAL THERAPY OF NORTHEAST ARKANSAS INC,JONESBORO,AR,724016155,"$   8,779.26",NO
PHILLIPS FAMILY HEALTHCARE LLC,MARION,AR,723642367,$   858.32,NO
PHIPPS FAMILY DENTISTRY,CENTERTON,AR,727199705,$   500.00,NO
"PHYSICAL REHABILITATION COMPANY, LLC",MAGNOLIA,AR,717532448,"$   12,863.59",YES
"PHYSICIAN GROUP OF ARKANSAS, INC.",HOPE,AR,718018124,"$   31,330.77",YES
PIGGOTT COMMUNITY HOSPITAL,PIGGOTT,AR,724542725,"$   1,293,653.02",YES
"PINE BLUFF DENTAL CENTER, PLLC",LITTLE ROCK,AR,722230014,$   500.00,NO
"PINES SNF OPERATIONS, LLC",HOT SPRINGS,AR,719018213,"$   24,565.65",NO
PINNACLE RADIOLOGY PLLC,LOWELL,AR,727452161,"$   28,441.23",YES
PLANNED PARENTHOOD OF ARKANSAS AND EASTERN OKLAHOMA INC,LITTLE ROCK,AR,722056611,"$   2,161.15",NO
PLEASANT MANOR NURSING & REHAB,ASHDOWN,AR,718224304,"$   167,961.57",YES
PLEASANT VALLEY NURSING LLC,LITTLE ROCK,AR,722123410,"$   20,002.50",NO
PM OPS INC,DIERKS,AR,718339001,"$   134,663.03",YES
"PNC, INC.",HOPE,AR,718021540,"$   14,551.69",YES
POCAHONTAS MEDICAL CLINIC PA,POCAHONTAS,AR,724559438,"$   133,093.98",YES
"PODIATRY GROUP, THE FOOT DOCTORS, LTD>",JONESBORO,AR,724013145,"$   39,314.76",YES
"POPLAR GROVE OPERATIONS, LLC",LITTLE ROCK,AR,722042306,"$   35,380.95",NO
PORTER HEALTH SERVICES LLC,FORT SMITH,AR,729018075,"$   8,535.31",YES
PRAIRIE SNF OPERATIONS LLC,DES ARC,AR,720403100,"$   108,899.01",YES
"PRECISION SURGICAL CENTER OF NORTHWEST ARKANSAS, LLC",ROGERS,AR,727588897,"$   15,450.07",NO
PRESBYTERIAN VILLAGE INC.,LITTLE ROCK,AR,722051694,"$   6,558.23",NO
"PRESCOTT SNF OPERATIONS, LLC",PRESCOTT,AR,718572800,"$   80,766.57",YES
PRESCRIPTIONS CORNER DRUG INC,PARAGOULD,AR,724504229,"$   5,781.21",YES
PRIMARY CARE 360,SHERWOOD,AR,721206046,"$   1,165.98",NO
PRISTINE HEALTH LLC,SPRINGDALE,AR,727620697,$   500.00,NO
"PROGRESSIVE ELDERCARE SERVICES - BRYANT, INC.",BRYANT,AR,720222564,"$   24,229.38",NO
"PROGRESSIVE ELDERCARE SERVICES - CROSS, INC.",WYNNE,AR,723963500,"$   194,801.19",YES
"PROGRESSIVE ELDERCARE SERVICES - SALINE, INC.",BENTON,AR,720158024,"$   30,475.45",NO
PROMED AMBULANCE INC,EL DORADO,AR,717300033,"$   186,521.95",YES
PROVIDENCE PCC OF SEARCY LLC,SEARCY,AR,721435069,"$   3,378.54",YES
PROVIDENCE PCC OF SPRINGDALE,SPRINGDALE,AR,727646357,"$   2,533.91",NO
PULMONARY AND SLEEP DIAGNOSTICS LLC,PARAGOULD,AR,724504337,"$   123,336.72",YES
QHG OF SPRINGDALE INC,BENTONVILLE,AR,72712,$   500.00,NO
QUAPAW CARE AND REHABILITATION CENTER LLC,HOT SPRINGS,AR,719137144,"$   40,965.60",NO
"RAINBOW OF CHALLENGES, INC.",HOPE,AR,718021540,"$   94,326.06",YES
RANDOLPH COUNTY NURSING HOME,POCAHONTAS,AR,724551496,"$   307,553.09",YES
"RANDY D WALKER, MD, PLLC",DE QUEEN,AR,718320740,"$   73,468.74",YES
REAPER PHYSICAL THERAPY INC,SEARCY,AR,721434802,"$   47,683.51",YES
"RECOVERY ZONE PEDIATRIC THERAPY, INC",RUSSELLVILLE,AR,728015204,"$   28,810.29",YES
"REGIONAL FAMILY MEDICINE, PA",MOUNTAIN HOME,AR,726532941,"$   152,745.20",YES
"RESOLUTIONS BEHAVIORAL HEALTH SERVICE, LLC.",CROSSETT,AR,716350562,$   863.21,YES
RISON GH OPERATIONS LLC,RISON,AR,716657904,"$   113,577.86",YES
RIVER VALLEY THERAPY & SPORTS MEDICINE INC,RUSSELLVILLE,AR,72801,"$   39,574.31",YES
RIVERSIDE AMBULANCE INC,MARKED TREE,AR,723652207,"$   57,582.14",YES
ROBERT FREDERICK NOONAN JR MD PA,CLARKSVILLE,AR,728304432,"$   49,773.14",YES
ROBINSON NURSING AND REHABILITATION CENTER LLC,NORTH LITTLE ROCK,AR,721183272,"$   8,394.99",YES
RODMAN & ARMSTRONG PARTNERSHIP,LITTLE ROCK,AR,722111861,"$   23,128.30",NO
RODRIGUEZ DENTISTRY PLLC,SPRINGDALE,AR,72762,$   500.00,NO
"ROGERS SNF OPERATIONS, LLC",ROGERS,AR,727585837,"$   10,335.26",YES
"RONALD D. HUBBARD,DDS,PA",MARSHALL,AR,726501717,"$   12,373.44",YES
ROSE PHARMACY LLC,BLYTHEVILLE,AR,723151707,$   500.00,YES
ROUSE FAMILY MEDICAL CLINIC PA,FAYETTEVILLE,AR,727010935,$   616.48,YES
RTNC INC,RECTOR,AR,724618074,"$   129,275.44",YES
"RUSSELLVILLE CARE CENTER, INC.",RUSSELLVILLE,AR,728012339,"$   252,278.74",YES
RUSSELLVILLE FAMILY DENTISTRY PA,RUSSELLVILLE,AR,728012740,$   500.00,YES
"RYAN A MOORE DDS, PLLC",ARKADELPHIA,AR,719235923,"$   2,121.17",YES
S A HALL M D PA,HELENA,AR,723420769,"$   12,554.95",YES
SABRE AYERS WRIGHT OD PLLC,HARRISON,AR,726022417,"$   93,131.64",YES
SALCO NC 2 INC,BENTON,AR,720156315,"$   50,732.26",NO
SALCO NC INC,BRYANT,AR,720227902,"$   13,334.65",NO
SALEM PLACE NURSING AND REHABILITATION CENTER INC,CONWAY,AR,720331408,"$   50,305.04",NO
SALINE HEART GROUP PA,BENTON,AR,720182860,"$   15,091.51",NO
SALINE HEART REHAB AND DIETARY SERVICES LLC,BENTON,AR,720192353,$   500.00,NO
SALINE MEDICAL GROUP,BENTON,AR,720153404,$   740.86,NO
SALINE ORTHOPEDIC GROUP P A,BENTON,AR,720183250,"$   48,192.65",YES
SALINE PSYCHOLOGICAL SERVICES INC.,BENTON,AR,720152845,"$   2,007.72",NO
SAMA HEALTHCARE SERVICES PA,EL DORADO,AR,717306990,"$   117,785.83",YES
SAMUEL ARNOLD III,CAMDEN,AR,71701,"$   2,268.69",YES
"SANDERS, TOMPKINS, SCHIRO AND LANDERS PLLC",FAYETTEVILLE,AR,727035385,"$   32,863.86",NO
SARK OPL,PINE BLUFF,AR,716037836,"$   78,630.62",YES
SAVERITT PEDIATRICS PLLC,FAYETTEVILLE,AR,727033989,"$   3,336.82",NO
"SCG HEALTH OPERATIONS, LLC",STAR CITY,AR,716675728,"$   150,542.64",YES
"SCNC, INC.",CABOT,AR,720232548,"$   42,150.87",NO
"SCOTT C. CLAYCOMB, M.D., P.A.",WARREN,AR,716710890,"$   139,212.78",YES
"SCOTT JOHNSON VISIONCARE, P.A.",BLYTHEVILLE,AR,723151707,"$   12,513.88",YES
SEARCY HEALTHCARE LLC,SEARCY,AR,721436527,"$   262,698.46",YES
"SEARCY SNF OPERATIONS, LLC",MARSHALL,AR,726507772,"$   135,586.97",YES
SENIOR CARE INC,JUDSONIA,AR,720810670,"$   251,604.07",YES
SHARE FOUNDATION,EL DORADO,AR,717304816,"$   205,546.74",YES
SHARP SNF OPERATIONS LLC,ASH FLAT,AR,725139522,"$   166,046.92",YES
"SHERIDAN DENTAL CENTER, PA",SHERIDAN,AR,721508427,"$   4,157.47",NO
SHERWOOD NURSING & REHABILITATION CENTER INC,SHERWOOD,AR,72120,"$   16,334.03",NO
"SHILOH NURSING AND REHAB, LLC",SPRINGDALE,AR,72764,"$   26,454.16",YES
SILOAM HEALTHCARE LLC,SILOAM SPRINGS,AR,727612327,"$   206,258.44",YES
SILOAM SPRINGS ARKANSAS HOSPITAL COMPANY LLC,SILOAM SPRINGS,AR,727614352,"$   1,506,796.17",YES
SLEEP MANAGEMENT SERVICES DME,WHITE HALL,AR,716120430,$   500.00,NO
SLEEP PARTNERS LLC,MAUMELLE,AR,721136304,"$   15,363.15",YES
"SLNC, INC.",SALEM,AR,72576,"$   175,112.44",YES
SMALL BITES,LITTLE ROCK,AR,722113710,"$   28,296.30",NO
SMC-MISSISSIPPI COUNTY HOSPITAL SYSTEM,BLYTHEVILLE,AR,723160108,"$   430,838.64",YES
SOMERSET SENIOR LIVING AT CANYON SPRINGS,HOT SPRINGS,AR,719012812,"$   37,155.34",NO
"SOMERSET SENIOR LIVING AT CROSSETT, INC.",CROSSETT,AR,716354152,"$   119,399.76",YES
SOMERSET SENIOR LIVING AT HARRISON,HARRISON,AR,726014634,"$   181,844.11",YES
"SOMERSET SENIOR LIVING AT MCGEHEE, INC.",MC GEHEE,AR,716541812,"$   138,755.93",YES
SOMERSET SENIOR LIVING AT MOUNT VISTA,HARRISON,AR,726012229,"$   247,244.16",YES
SOMERSET SENIOR LIVING AT PINE HILLS,CAMDEN,AR,717014626,"$   163,695.57",YES
SOMERSET SENIOR LIVING AT PREMIER,NORTH LITTLE ROCK,AR,721172921,"$   24,298.75",NO
SOMERSET SENIOR LIVING AT SEVEN SPRINGS,HEBER SPRINGS,AR,725431914,"$   118,463.77",YES
"SOUTH ARKANSAS CARDIOLOGY, P.L.L.C.",PINE BLUFF,AR,716037836,"$   34,818.20",YES
SOUTH ARKANSAS DEVELOPMENTAL CENTER FOR CHILDREN AND FAMILIES,EL DORADO,AR,717304416,"$   20,209.10",YES
"SOUTHEAST EMERGENCY MEDICAL SERVICE, INC",MONTICELLO,AR,71655,"$   39,855.54",YES
SOUTHEAST FAMILY DENTISTRY PLLC,MC GEHEE,AR,716542005,"$   8,201.82",YES
SOUTHEAST REHAB LLC.,LAKE VILLAGE,AR,716530743,"$   154,460.91",YES
SOUTHERN HEALTH AND WELLNESS INC,JONESBORO,AR,724017432,$   500.00,YES
SOUTHERN HOME HEALTHCARE INC,JONESBORO,AR,724017313,"$   88,064.04",YES
SOUTHERN REGIONAL ANESTHESIOLOGY CONSULTANTS PLLC,LITTLE ROCK,AR,72205,"$   131,036.59",YES
"SOUTHWEST ARKANSAS COUNSELING AND MENTAL HEALTH CENTER, INC",TEXARKANA,AR,718542536,"$   103,204.73",YES
SOUTHWEST ARKANSAS FOOT AND ANKLE CENTER,HOT SPRINGS,AR,719016347,"$   14,642.29",YES
SPARTA CORP,LONDON,AR,72847,$   736.07,YES
SPRING RIVER PARAMEDIC AMBULANCE SERVICE INC,CHEROKEE VILLAGE,AR,725297610,"$   80,253.55",YES
"SRCNC, INC",SEARCY,AR,721434750,"$   436,713.24",YES
ST ANTHONYS HOSPITAL ASSOCIATION,MORRILTON,AR,721104510,"$   767,721.55",YES
ST BERNARD COMMUNITY HOSPITAL CORPORATION,WYNNE,AR,723960590,"$   800,456.91",YES
ST BERNARDS HOSPITAL INC.,JONESBORO,AR,724015355,"$   10,743,869.37",YES
ST VINCENT INFIRMARY MEDICAL CENTER,LITTLE ROCK,AR,722055423,"$   4,874,455.81",YES
ST VINCENT MEDICAL GROUP,LITTLE ROCK,AR,722213410,"$   619,607.14",YES
ST. BERNARDS CLINICS INC,JONESBORO,AR,724013104,"$   419,964.34",YES
"ST. BERNARDS VILLAGE, INC.",JONESBORO,AR,724015098,"$   42,654.08",NO
ST. FRANCIS COUNTY COMMUNITY DEVELOPMENT CORPORATION,FORREST CITY,AR,723359183,"$   9,290.99",YES
"STAR CITY SNF OPERATIONS, LLC",STAR CITY,AR,716675327,"$   60,563.52",YES
"STAR THERAPY, P.A.",GREEN FOREST,AR,726384022,"$   1,093.62",YES
STELLA MANOR CARE CENTER INC,RUSSELLVILLE,AR,728012750,"$   215,661.29",YES
"STEPPING STONE SCHOOL FOR EXCEPTIONAL CHILDREN,INC",ALMA,AR,729212389,"$   2,643.68",NO
"STUTTGART DIALYSIS, LLC",STUTTGART,AR,721605648,"$   78,967.80",YES
"SUNSHINE MANOR RETIREMENT HOMES, INC.",PARAGOULD,AR,724508884,"$   5,067.81",YES
SUPERINTENDENT OF GREENLAND SCHOOL DISTRICT 95,WEST FORK,AR,727740419,$   500.00,NO
SUPERINTENDENT OF LINCOLN SCHOOL DIST 48,WEST FORK,AR,727740419,$   500.00,NO
SUPERINTENDENT OF PRAIRIE GROVE SCHOOL DISTRICT NO 23,WEST FORK,AR,727740419,$   586.91,NO
SUPERINTENDENT OF WEST FORK SCHOOL,WEST FORK,AR,727740419,$   500.00,NO
SUPERIOR HEALTH & REHAB LLC,CONWAY,AR,720331358,"$   19,029.32",YES
"SURGICAL ASSOCIATES OF JONESBORO, INC.",JONESBORO,AR,724013548,"$   83,569.31",YES
T W WAGNER INC,MANILA,AR,724420910,"$   62,943.64",YES
"TEALE DENTISTRY, PA",MALVERN,AR,721045220,"$   12,034.06",YES
TERRY'S P PERSONAL CARE SERVIC,WEST MEMPHIS,AR,723013212,"$   6,757.08",NO
TEXARKANA BEHAVIORAL ASSOCIATES LC,FAYETTEVILLE,AR,727034593,"$   254,480.04",YES
"TEXARKANA KIDNEY DISEASE & HYPERTENSION CENTER, INC",TEXARKANA,AR,718545310,"$   25,394.34",YES
"TEXARKANA SNF OPERATIONS, LLC",TEXARKANA,AR,718542215,"$   12,996.39",NO
THE MANOR,NORTH LITTLE ROCK,AR,721137027,"$   1,689.27",NO
THE PLAZA AT TWIN RIVERS,ARKADELPHIA,AR,719234219,"$   7,179.40",YES
THE VILLAGES OF GENERAL BAPTIST HEALTH CARE ASSISTED LIVING,PIGGOTT,AR,724541010,$   844.64,NO
THE VILLAGES OF GENERAL BAPTIST HEALTH CARE WEST,PINE BLUFF,AR,716037828,"$   34,820.01",NO
THE WATERS OF CUMBERLAND LLC,LITTLE ROCK,AR,722025065,"$   11,360.21",NO
THE WATERS OF MOUNTAIN VIEW LLC,MOUNTAIN VIEW,AR,725608601,"$   232,691.38",YES
"THE WATERS OF NORTH LITTLE ROCK, LLC",NORTH LITTLE ROCK,AR,721141815,"$   21,983.02",NO
"THE WATERS OF ROGERS, LLC",ROGERS,AR,727584935,"$   36,466.99",NO
THE WATERS OF STAMPS LLC,STAMPS,AR,718604522,"$   111,520.22",YES
THE WATERS OF WEST DIXON LLC,LITTLE ROCK,AR,722064256,"$   13,463.86",NO
THE WATERS OF WHITE HALL LLC,WHITE HALL,AR,716022616,"$   44,674.72",NO
THE WATERS OF WOODLAND HILLS LLC,LITTLE ROCK,AR,722056509,"$   18,201.15",NO
THE WEST HAVEN INC,DEWITT,AR,72042,"$   18,159.66",YES
"THE WINSTON CLINIC, P.A.",SHERIDAN,AR,721500100,"$   46,554.16",YES
THERAPEUTIC FOCUS LLC,WEST MEMPHIS,AR,723013142,"$   1,245.50",NO
THERA-PLAY PEDIATRICS,FAYETTEVILLE,AR,727046364,"$   4,495.96",NO
"THERAPY WORKS, INC",HARDY,AR,725420398,"$   11,363.29",YES
THREE RIVERS NURSING AND REHABILITATION LLC,MARKED TREE,AR,723659521,"$   220,521.10",YES
THRIVE PEDIATRIC NURSING INC,LITTLE ROCK,AR,722122794,"$   1,771.68",NO
THUYLINH HO PHAM MD PLLC,FORT SMITH,AR,72901,$   500.00,YES
"TIMBERLANE CARE AND REHABILITATION CENTER, LLC",EL DORADO,AR,717306996,"$   260,278.03",YES
T-LYNN INC.,HARRISBURG,AR,724321100,"$   170,558.17",YES
TOM HUDSON LLC,CONWAY,AR,720344912,"$   8,739.73",NO
TRENT P. PIERCE MD,WEST MEMPHIS,AR,723013059,$   755.40,NO
"TRINITY RIVER VALLEY HOME HEALTH, LLC",FORT SMITH,AR,729011903,"$   77,802.13",YES
"TRINITY VILLAGE, INC.",PINE BLUFF,AR,716037802,"$   36,633.74",NO
"TRUMMAN OPS, INC.",TRUMANN,AR,724723499,"$   80,812.77",YES
TTJ INC.,MAYFLOWER,AR,721069524,"$   6,816.15",YES
"TURCIOS & ZARRUK DENTAL, P.A.",LITTLE ROCK,AR,72211,"$   1,004.02",NO
TURNER EYE CLINIC,SEARCY,AR,721436202,$   500.00,NO
"TURNER EYE CLINIC, PA",SEARCY,AR,721436202,"$   4,853.31",YES
TWIN RIVERS HEALTH AND REHAB LLC,ARKADELPHIA,AR,719234219,"$   216,844.37",YES
"TXKNC, INC.",TEXARKANA,AR,718541654,"$   46,912.60",NO
UNITED CEREBRAL PALSY OF ARKANSAS,LITTLE ROCK,AR,722276212,"$   70,497.66",NO
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,LITTLE ROCK,AR,722251420,"$   9,743,186.59",YES
URGENT CARE ASSOCIATES LLC,MAGNOLIA,AR,717533265,"$   21,170.63",YES
VALLEY BEHAVIORAL HEALTH SYSTEM LLC,BARLING,AR,729031660,"$   285,313.62",NO
"VALLEY VIEW VISION, P.L.L.C.",JONESBORO,AR,724040522,"$   4,121.92",YES
"VAMANA, INC.",TEXARKANA,AR,718545310,"$   12,221.21",NO
VAN BUREN SNF OPERATIONS LLC,VAN BUREN,AR,729562266,"$   12,835.02",YES
VECTOR HEALTH & WELLNESS LLC,FAYETTEVILLE,AR,727047148,$   500.00,NO
VISUALEYES OPTOMETRY PLLC,POCAHONTAS,AR,724553405,"$   10,361.13",YES
"VITAL LINK, INC.",BATESVILLE,AR,725017674,"$   214,962.46",YES
"W. BRENT HALL, O.D. P.A.",PINE BLUFF,AR,716034802,"$   17,964.02",NO
"WADE KIFER D.D.S., P.A.",FAYETTEVILLE,AR,727032615,$   500.00,NO
WAGONER HEALTH & REHAB LLC,BELLA VISTA,AR,727158462,"$   105,661.07",YES
"WALK WITH US HOME CARE, LLC",BIGGERS,AR,724139756,"$   69,309.67",YES
WALLACE W TOWLE O D P A,HOT SPRINGS,AR,719016848,$   500.00,NO
WALNUT RIDGE SNF OPERATIONS LLC,WALNUT RIDGE,AR,724761434,"$   151,281.16",YES
"WALTER W. HAYES, D.P.M., P.A.",JONESBORO,AR,724036711,"$   9,946.25",YES
WASHINGTON REGIONAL MEDICAL SYSTEM,FAYETTEVILLE,AR,727031822,"$   556,016.27",YES
WATERS OF FORT SMITH LLC,FORT SMITH,AR,729018339,"$   14,307.83",NO
WATERS OF NEWPORT LLC,NEWPORT,AR,721124948,"$   223,937.65",YES
"WCNC, INC.",FAYETTEVILLE,AR,727047512,"$   26,990.99",NO
WEBB EYE CARE ASSOCIATES PA,HOT SPRINGS,AR,719137952,"$   8,162.36",NO
"WELLNESS CLINIC AND HEALTHCARE CONSULTING, PLLC",CAMDEN,AR,717112370,$   500.00,YES
"WENTWORTH, LLC",MAGNOLIA,AR,717539000,"$   268,277.95",YES
WESLEY M ANDERSEN OD PA,SPRINGDALE,AR,727647043,$   674.58,NO
WEST MEMPHIS PEDIATRIC DENTISTRY,WEST MEMPHIS,AR,723014225,"$   1,739.35",NO
WEST MEMPHIS WELLNESS LLC,WEST MEMPHIS,AR,723012912,"$   22,736.97",NO
"WESTWOOD HEALTH AND REHAB, INC.",SPRINGDALE,AR,727645222,"$   24,895.42",NO
WHITE COUNTY MEDICAL CENTER,SEARCY,AR,721435061,"$   9,921,515.97",YES
WHITE HALL WALK IN CLINIC PA,LITTLE ROCK,AR,722251753,"$   1,289.63",NO
WHITE RIVER AREA AGENCY ON AGING INC,BATESVILLE,AR,725032637,"$   629,872.94",YES
"WHITE RIVER EMS, INC.",NEWPORT,AR,721122846,"$   38,592.07",YES
WHITE RIVER HEALTH SYSTEM INC,MOUNTAIN VIEW,AR,725606402,"$   9,814,469.47",YES
"WILLIAM L. EGGART, DDS, PA",MORRILTON,AR,721104528,"$   7,579.62",YES
WILLOWBEND AT MARION LLC,MARION,AR,723642505,"$   25,927.31",NO
"WINDCREST HEALTH AND REHAB, INC.",SPRINGDALE,AR,727641844,"$   28,905.19",NO
"WITOLD CZERWINSKI, MD PA",BATESVILLE,AR,725033951,"$   16,583.87",YES
WM TREVOR COFFEE DDS PA,HOPE,AR,718016518,"$   5,119.07",YES
WOLF WELLNESS CENTER PLLC,HOLIDAY ISLAND,AR,726319230,"$   12,639.32",YES
WOODLAND HILLS HOME CARE,CAMDEN,AR,717110893,"$   9,713.31",YES
"WOOD-LAWN, INC",BATESVILLE,AR,725016208,"$   281,100.38",YES
WOODS DENTAL SERVICES PLLC,CONWAY,AR,720344800,$   500.00,NO
WRIGHT PODIATRY PLLC,FORT SMITH,AR,729013915,"$   5,620.42",NO
"WRNC,INC",WARREN,AR,716163528,"$   207,181.85",YES
YELL COUNTY MEDICAL TRANSPORT LLC,DANVILLE,AR,728338801,"$   49,695.85",YES
"ZINI'S MEDICAL CONSULTANTS, LLC",MOUNTAIN VIEW,AR,725601160,$   531.56,YES
"HOPE DIALYSIS CENTER, INC.",PAGO PAGO,AS,967996305,"$   24,461.63",YES
15810 SOUTH 42ND STREET OPERATIONS LLC,PHOENIX,AZ,850487409,"$   41,878.95",NO
255 WEST BROWN ROAD OPERATIONS LLC,MESA,AZ,852013404,"$   39,490.79",NO
9940 WEST UNION HILLS DRIVE OPERATIONS LLC,SUN CITY,AZ,853731673,"$   22,468.08",NO
"A PLUS DENTAL, PLC",LITCHFIELD PARK,AZ,853400734,$   500.00,NO
A PLUS MEDICAL TRANSPPORTATION,TEMPE,AZ,852821757,"$   31,962.87",NO
A SULTAN LALANI M D LTD,YUMA,AZ,853648458,"$   1,043.57",NO
"ACADIA, LLC",LAKE HAVASU CITY,AZ,864039306,"$   6,356.38",NO
ACCURATE CARE CHIROPRACTIC & ACUPUNCTURE,SCOTTSDALE,AZ,852556232,$   500.00,NO
ACT NOW DME LLC,TUCSON,AZ,857437485,$   500.00,NO
ACTIVE LIFE PHYSICAL MEDICINE & PAIN CENTER PLLC,AVONDALE,AZ,853921012,"$   1,271.63",NO
ACTIVE LIFESTYLE CHIROPRACTIC,PHOENIX,AZ,850480560,$   500.00,NO
"ADJUST TO HEALTH, INC",PRESCOTT VALLEY,AZ,863143540,$   500.00,NO
ADOBE DENTAL DESIGN OF SEDONA PLLC,SEDONA,AZ,863364738,$   500.00,YES
ADVANCED ANESTHESIA PLC,SURPRISE,AZ,853749583,$   500.00,NO
"ADVANCED ORTHOPAEDICS AND SPORTS MEDICINE, PC",CHANDLER,AZ,852866160,"$   7,990.73",NO
ADVANCED PEDIATRIC CARDIOLOGY PLLC,CHANDLER,AZ,852467270,$   594.21,NO
AFFILIATED THERAPY SERVICES INC,PHOENIX,AZ,850408862,"$   9,545.45",NO
AFFINITY PHYSICAL THERAPY LLC,PHOENIX,AZ,850408862,"$   24,706.01",YES
AGH LAVEEN LLC,PHOENIX,AZ,850122720,"$   115,174.75",YES
AGH MESA LLC,PHOENIX,AZ,850122720,"$   75,977.83",NO
AGILITY SPINE & SPORTS PHYSICAL THERAPY AND REHABILITATION LP,TUCSON,AZ,857452688,"$   3,479.40",NO
AINSWORTH CONSULTING GROUP LLC,CHANDLER,AZ,852242879,"$   1,150.47",NO
AJO COMMUNITY HEALTH CENTER,AJO,AZ,853212254,"$   42,178.14",YES
AKDHC LLC,PHOENIX,AZ,850182396,"$   478,294.13",YES
"AKDHC SURGERY CENTER, LLC",PHOENIX,AZ,850182396,"$   32,148.66",YES
ALLEGIANT HEALTHCARE EAST LLC,MESA,AZ,85208,"$   26,929.46",NO
ALLEGIANT HEALTHCARE OF PHOENIX LLC,PHOENIX,AZ,850063742,"$   50,633.89",NO
ALLEGIANT HEALTHCARE WEST LLC,MESA,AZ,852089201,"$   73,428.06",NO
ALSHAM ENDOCRINOLOGY,CHANDLER,AZ,852262379,"$   4,596.64",NO
"ALTACARE, LLC",FLAGSTAFF,AZ,860047343,"$   3,207.44",NO
A-MAKING CHANGES,PHOENIX,AZ,850167844,"$   9,118.84",NO
AMAZING G LLC,MESA,AZ,852071563,$   681.50,NO
"AMDX, LTD.",PHOENIX,AZ,850215824,"$   4,154.22",NO
ANETHEALTH LLC,CHANDLER,AZ,852495384,$   500.00,NO
ANGIE COIL FNP PLLC,COTTONWOOD,AZ,863264120,"$   6,027.27",YES
"ANIMALS FACILITATING ADOLESCENTS AND CHILDREN THERAPEUTICALLY, INC.",MARANA,AZ,856588396,$   500.00,NO
ANTONIO T UVAS PLLC,SUN CITY WEST,AZ,853755797,$   752.96,YES
APACHE TAXI LLC,TEMPE,AZ,852816075,"$   13,723.57",NO
AQUATIC-N-WRITING REHAD,AVONDALE,AZ,85323,$   500.00,NO
"ARIZONA BEST HOSPICE, LLC",YUMA,AZ,853648506,"$   1,953.20",YES
ARIZONA DENTAL SPECIALTY GROUP PLLC,PHOENIX,AZ,850600220,$   500.00,NO
ARIZONA ENDOVASCULAR PLLC,TUCSON,AZ,857153839,"$   10,120.31",YES
ARIZONA EYE INSTITUTE & COSMETIC LASER CENTER LLC,SUN CITY WEST,AZ,853754401,"$   6,047.92",NO
"ARIZONA FOOT & ANKLE SPECIALISTS, LLC",GOODYEAR,AZ,853957831,$   874.23,NO
